惶 惶 瑝
煌 煌 瑝
晃 晃 愰
幌 幌 縨
恍 恍 恍
谎 謊 巟
灰 灰 洃
挥 揮 媈
辉 輝 媈
徽 徽 幑
恢 恢 恢
蛔 蛔 蛔
回 回 冋
毁 毀 毇
悔 悔 珻
慧 慧 慧
卉 卉 卉
惠 惠 惠
晦 晦 珻
贿 賄 贿
秽 穢 秽
会 會 浍
烩 燴 烩
汇 彙 匯
讳 諱 讳
诲 誨 诲
绘 繪 浍
荤 葷 荤
昏 昏 涽
婚 婚 殙
魂 魂 魂
浑 渾 渾
混 混 婫
豁 豁 豁
活 活 萿
伙 夥 钬
火 火 焱
获 獲 镬
或 或 戓
惑 惑 惑
霍 霍 靃
货 貨 貨
祸 禍 禍
击 擊 击
圾 圾 圾
基 基 樭
机 機 僟
畸 畸 畸
稽 稽 稽
积 積 積
箕 箕 箕
肌 肌 肌
饥 饑 饥
迹 迹 迹
激 激 噭
讥 譏 讥
鸡 雞 鶏
姬 姬 姬
绩 績 绩
缉 緝 缉
吉 吉 咭
极 極 极
棘 棘 棘
辑 輯 辑
籍 籍 籍
集 集 潗
及 及 彶
急 急 喼
疾 疾 疾
汲 汲 汲
即 即 旣
嫉 嫉 嫉
级 級 级
挤 擠 哜
几 幾 凢
脊 脊 脊
己 己 己
蓟 薊 蓟
技 技 技
冀 冀 冀
季 季 悸
伎 伎 伎
祭 祭 祭
剂 劑 剂
悸 悸 悸
济 濟 哜
寄 寄 寄
寂 寂 寂
计 計 計
记 記 汜
既 既 旣
忌 忌 忌
际 際 漈
继 繼 继
纪 紀 汜
嘉 嘉 嘉
枷 枷 枷
夹 夾 夾
佳 佳 佳
家 家 傢
加 加 咖
荚 莢 荚
颊 頰 颊
贾 賈 贾
甲 甲 曱
钾 鉀 钾
假 假 徦
稼 稼 糘
价 價 價
架 架 泇
驾 駕 駕
嫁 嫁 糘
歼 殲 姧
监 監 盬
坚 堅 堅
尖 尖 尖
笺 箋 笺
间 間 簡
煎 煎 煎
兼 兼 凲
肩 肩 肩
艰 艱 艰
奸 奸 奷
缄 緘 缄
茧 繭 茧
检 檢 撿
柬 柬 柬
碱 堿 碱
硷 鹼 硷
拣 揀 拣
捡 撿 撿
简 簡 彅
俭 儉 倹
剪 剪 彅
减 減 諴
荐 薦 薦
槛 檻 槛
鉴 鑒 鉴
践 踐 践
贱 賤 濺
见 見 見
键 鍵 楗
箭 箭 箭
件 件 件
健 健 揵
舰 艦 舰
剑 劍 劍
饯 餞 饯
渐 漸 渐
溅 濺 溅
涧 澗 涧
建 建 踺
僵 僵 壃
姜 姜 葁
将 將 將
浆 漿 槳
江 江 茳
疆 疆 彊
蒋 蔣 蔣
桨 槳 桨
奖 獎 奨
讲 講 講
匠 匠 匠
酱 醬 醬
降 降 夅
蕉 蕉 蕉
椒 椒 椒
礁 礁 礁
焦 焦 潐
胶 膠 烄
交 交 茭
郊 郊 郊
浇 澆 浇
骄 驕 嬌
娇 嬌 嬌
嚼 嚼 嚼
搅 攪 搅
铰 鉸 铰
矫 矯 矫
侥 僥 侥
脚 腳 腳
狡 狡 烄
角 角 角
饺 餃 饺
缴 繳 儌
绞 絞 烄
剿 剿 剿
教 教 嘋
酵 酵 酵
轿 轎 轿
较 較 珓
叫 叫 嘂
窖 窖 窖
揭 揭 揭
接 接 帹
皆 皆 湝
秸 稭 秸
街 街 街
阶 階 阶
截 截 截
劫 劫 劫
节 節 兯
茎 莖 莖
睛 睛 聙
晶 晶 瞐
鲸 鯨 鯨
京 京 倞
惊 驚 驚
精 精 棈
粳 粳 粳
经 經 經
井 井 丼
警 警 檠
景 景 憬
颈 頸 頸
静 靜 靜
境 境 璄
敬 敬 擏
镜 鏡 傹
径 徑 徑
痉 痙 痉
靖 靖 靖
竟 竟 獍
竞 競 競
净 淨 凈
炯 炯 泂
窘 窘 僒
揪 揪 啾
究 究 究
纠 糾 糾
玖 玖 玖
韭 韭 韭
久 久 玖
灸 灸 灸
九 九 勼
酒 酒 氿
厩 廄 厩
救 救 慦
旧 舊 舊
臼 臼 臼
舅 舅 舅
咎 咎 咎
就 就 僦
疚 疚 咎
鞠 鞠 鞠
拘 拘 佝
狙 狙 狙
疽 疽 疽
居 居 劇
驹 駒 驹
菊 菊 匊
局 局 挶
咀 咀 咀
矩 矩 怇
举 舉 舉
沮 沮 沮
聚 聚 藂
拒 拒 岠
据 據 琚
巨 巨 姖
具 具 倶
距 距 岠
踞 踞 踞
锯 鋸 涺
俱 俱 倶
句 句 呴
惧 懼 惧
炬 炬 岠
剧 劇 涺
捐 捐 涓
鹃 鵑 鵑
娟 娟 涓
倦 倦 惓
眷 眷 眷
卷 卷 捲
绢 絹 涓
撅 撅 瘚
攫 攫 攫
抉 抉 決
掘 掘 崛
倔 倔 崛
爵 爵 嚼
桔 桔 桔
杰 傑 傑
捷 捷 啑
睫 睫 睫
竭 竭 竭
洁 潔 洁
结 結 結
解 解 解
姐 姐 姐
戒 戒 悈
藉 藉 藉
芥 芥 芥
界 界 鎅
借 借 徣
介 介 夰
疥 疥 疥
诫 誡 诫
届 屆 屆
巾 巾 凧
筋 筋 荕
斤 斤 釿
金 金 唫
今 今 妗
津 津 珒
襟 襟 噤
紧 緊 緊
锦 錦 婂
仅 僅 僅
谨 謹 殣
进 進 琎
靳 靳 靳
晋 晉 晉
禁 禁 噤
近 近 菦
烬 燼 烬
浸 浸 锓
尽 盡 浕
劲 勁 勁
荆 荊 荊
兢 兢 兢
觉 覺 覺
决 決 吷
诀 訣 吷
绝 絕 蕝
均 均 汮
菌 菌 箘
钧 鈞 呁
军 軍 軍
君 君 焄
峻 峻 浚
俊 俊 浚
竣 竣 浚
浚 浚 浚
郡 郡 郡
骏 駿 浚
喀 喀 喀
咖 咖 咖
卡 卡 鉲
咯 咯 咯
开 開 閞
揩 揩 揩
楷 楷 揩
凯 凱 剀
慨 慨 慨
刊 刊 刋
堪 堪 堪
勘 勘 勘
坎 坎 坎
砍 砍 歃
看 看 看
康 康 嫝
慷 慷 嵻
糠 糠 嵻
扛 扛 摃
抗 抗 忼
亢 亢 囥
炕 炕 忼
考 考 栲
拷 拷 洘
烤 烤 栲
靠 靠 靠
坷 坷 坷
苛 苛 岢
柯 柯 柯
棵 棵 錁
磕 磕 溘
颗 顆 錁
科 科 萪
壳 殼 涜
咳 咳 嗑
可 可 妸
渴 渴 渇
克 克 尅
刻 刻 尅
客 客 愙
课 課 錁
肯 肯 肻
啃 啃 肻
垦 墾 恳
恳 懇 垦
坑 坑 妔
吭 吭 妔
空 空 涳
恐 恐 恐
孔 孔 芤
控 控 啌
抠 摳 摳
口 口 囗
扣 扣 釦
寇 寇 簆
枯 枯 喖
哭 哭 哭
窟 窟 崫
苦 苦 楛
酷 酷 酷
库 庫 厙
